wavelength (nm),n_o,k_o,n_e,k_e
387.0419279,3.551308,0.218977,3.1463,0.166377
388.6407107,3.535356,0.213999,3.134128,0.162715
390.2396137,3.520087,0.209398,3.122511,0.159274
391.8384762,3.505474,0.205105,3.111419,0.155997
393.4372597,3.491481,0.201055,3.100816,0.15283
395.0360529,3.478057,0.197184,3.090652,0.149724
396.6348233,3.46513,0.193453,3.080856,0.146648
398.2336677,3.452642,0.189856,3.071373,0.143607
399.8323019,3.440558,0.186393,3.062167,0.140608
401.4310848,3.428846,0.183058,3.05321,0.137654
403.0298654,3.417484,0.17985,3.044478,0.134752
404.6284903,3.40645,0.176764,3.035953,0.131905
406.227203,3.395727,0.173798,3.027617,0.129117
407.8257204,3.385298,0.170946,3.019459,0.126392
409.4244291,3.37515,0.168207,3.011465,0.123734
411.0230487,3.365271,0.165575,3.003624,0.121146
412.6215672,3.355648,0.163048,2.995929,0.118632
414.2201125,3.346272,0.160622,2.988372,0.116193
415.8186799,3.337132,0.158293,2.980945,0.113833
417.4171259,3.328221,0.156057,2.973644,0.111554
419.015588,3.31953,0.153912,2.966463,0.109358
420.6140676,3.311051,0.151853,2.959398,0.107249
422.2125682,3.302778,0.149877,2.952446,0.105227
423.8109508,3.294703,0.147982,2.945605,0.103295
425.409366,3.28682,0.146163,2.938872,0.101455
427.0076771,3.279124,0.144417,2.932245,0.099708
428.6060418,3.271609,0.142742,2.925725,0.098056
430.2043259,3.26427,0.141134,2.919311,0.096501
431.8025436,3.257101,0.139591,2.913003,0.095044
433.400863,3.250098,0.138108,2.906803,0.093685
434.9990015,3.243255,0.136684,2.900712,0.092427
436.5972849,3.236569,0.135316,2.894734,0.091271
438.1954311,3.230034,0.134001,2.888877,0.090215
439.7936197,3.223647,0.132736,2.883144,0.089253
441.3917231,3.217404,0.13152,2.87754,0.088381
442.9897703,3.2113,0.13035,2.872065,0.087591
444.5877927,3.205333,0.129223,2.86672,0.086877
446.1858248,3.199498,0.128138,2.861505,0.086235
447.783742,3.193792,0.127092,2.856419,0.085659
449.3817437,3.188212,0.126083,2.851463,0.085143
450.9797088,3.182754,0.12511,2.846634,0.084682
452.5776795,3.177416,0.12417,2.841932,0.084272
454.1755348,3.172194,0.123261,2.837355,0.083907
455.7733195,3.167085,0.122382,2.832901,0.083583
457.3710811,3.162087,0.12153,2.828568,0.083296
458.9688705,3.157197,0.120705,2.824356,0.083041
460.5665706,3.152411,0.119904,2.82026,0.082813
462.1642346,3.147728,0.119125,2.816279,0.08261
