wavelength (nm),n_o,k_o,n_e,k_e
1455.476807,2.570707,2.739266,1.494685,3.258615
1458.912598,2.573313,2.747158,1.496619,3.271742
1462.348755,2.575976,2.755074,1.498654,3.284875
1465.785278,2.578696,2.763011,1.500789,3.298012
1469.222168,2.581475,2.770968,1.503024,3.311151
1472.659424,2.584312,2.778946,1.505359,3.32429
1476.097168,2.587208,2.786941,1.507794,3.337427
1479.535278,2.590163,2.794954,1.510327,3.35056
1482.973755,2.593177,2.802984,1.512959,3.363688
1486.412598,2.596252,2.811028,1.515689,3.376809
1489.851929,2.599387,2.819086,1.518518,3.389921
1493.291748,2.602583,2.827157,1.521444,3.403023
1496.731812,2.60584,2.83524,1.524467,3.416112
1500.172485,2.609158,2.843334,1.527586,3.429188
1503.613525,2.612537,2.851437,1.530802,3.44225
1507.055054,2.615978,2.859549,1.534113,3.455294
1510.49707,2.619482,2.867669,1.537519,3.46832
1513.939453,2.623047,2.875795,1.541019,3.481327
1517.382446,2.626675,2.883927,1.544614,3.494313
1520.825806,2.630365,2.892063,1.548302,3.507277
1524.269653,2.634118,2.900202,1.552082,3.520216
1527.714111,2.637933,2.908344,1.555955,3.533131
1531.158936,2.641812,2.916487,1.55992,3.54602
1534.604248,2.645754,2.924631,1.563975,3.558881
1538.050171,2.649758,2.932774,1.568121,3.571713
1541.496582,2.653826,2.940916,1.572356,3.584515
1544.943481,2.657957,2.949055,1.576681,3.597286
1548.390869,2.662151,2.957191,1.581094,3.610024
1551.838989,2.666409,2.965322,1.585595,3.62273
1555.287476,2.67073,2.973448,1.590184,3.6354
1558.736572,2.675115,2.981568,1.594859,3.648035
1562.186279,2.679563,2.989681,1.59962,3.660633
1565.636475,2.684074,2.997785,1.604467,3.673193
1569.087158,2.688649,3.00588,1.609398,3.685714
1572.538574,2.693287,3.013966,1.614413,3.698195
1575.990479,2.697989,3.02204,1.619513,3.710635
1579.443115,2.702754,3.030103,1.624695,3.723033
1582.89624,2.707583,3.038154,1.629959,3.735389
1586.349854,2.712475,3.046191,1.635306,3.7477
1589.804199,2.71743,3.054213,1.640733,3.759967
1593.259155,2.722449,3.062221,1.646241,3.772188
1596.714722,2.727531,3.070213,1.651829,3.784363
1600.170898,2.732676,3.078187,1.657497,3.79649
1603.627686,2.737885,3.086144,1.663243,3.808568
1607.085205,2.743156,3.094083,1.669068,3.820598
1610.543335,2.748491,3.102002,1.67497,3.832577
1614.002197,2.753889,3.109901,1.68095,3.844505
1617.46167,2.759351,3.117779,1.687006,3.856382
1620.921631,2.764875,3.125635,1.693139,3.868206
1624.382568,2.770462,3.133469,1.699347,3.879976
1627.843994,2.776113,3.141279,1.705631,3.891691
1631.30603,2.781826,3.149064,1.711989,3.903352
1634.768921,2.787603,3.156825,1.718421,3.914956
1638.232544,2.793443,3.16456,1.724928,3.926504
1641.696655,2.799345,3.172268,1.731507,3.937993
1645.161743,2.805311,3.179949,1.73816,3.949424
1648.627319,2.81134,3.1876,1.744885,3.960795
1652.09375,2.817433,3.195223,1.751683,3.972106
1655.560913,2.823588,3.202816,1.758553,3.983355
1659.028931,2.829808,3.210378,1.765494,3.994542
1662.497437,2.83609,3.217907,1.772506,4.005665
1665.966797,2.842437,3.225405,1.77959,4.016725
1669.43689,2.848846,3.232868,1.786744,4.027718
1672.907837,2.855321,3.240296,1.793968,4.038645
1676.379517,2.861859,3.247689,1.801264,4.049505
1679.851929,2.868462,3.255046,1.808629,4.060296
1683.325195,2.87513,3.262364,1.816065,4.071017
1686.799194,2.881864,3.269644,1.823571,4.081666
1690.27417,2.888664,3.276883,1.831148,4.092243
1693.749756,2.89553,3.284081,1.838794,4.102745
1697.226196,2.902463,3.291235,1.846512,4.113169
